Name,Level,School,Casting time,Description,Classes
Acid Splash,Cantrip,Conjuration,Action,Hurl a bubble of acid that deals 1d6 Acid to each creature it hits. Attack/Save: Dexterity Range: 18m/60ft + 2m/7ft Explode radius,Wizard
Blade Ward,Cantrip,Abjuration,Action,"Inflicts Blade Ward (2)Gain resistance to Bludgeoning, Piercing, and Slashing damage from weapon attacks.","Warlock, Wizard"
Chill Touch,Cantrip,Necromancy,Action,Inflicts Chill Touch (2)Assail a creature with the chill of the grave. It takes 1d8 Necrotic and cannot regain hit points. Undead creatures also get disadvantage on attack rolls. Attack/Save: Ranged Attack Range: 18m/60ft,"Warlock, Wizard"
Dancing Lights,Cantrip,Evocation,Bonus Action,Create wisps of light that illuminate a 12m/40ft radius. Concentration: Required Range: 18m/60ft,Wizard
Eldritch Blast,Cantrip,Evocation,Action,1d10 ForceConjure a beam of crackling energy that deals 1d10 Force. Attack/Save: Ranged Attack Range: 18m/60ft,Warlock
Fire Bolt,Cantrip,Evocation,Action,1d10 FireHurl a mote of fire that deals 1d10. Attack/Save: Ranged Attack Range: 18m/60ft,Wizard
Friends,Cantrip,Enchantment,Action,Inflicts Friends (10)Enchant a non-hostile creature to gain advantage on Charisma checks against it. Concentration: Required Range: 9m/30ft,"Warlock, Wizard"
Githyanki Psionics: Mage Hand,Cantrip,Conjuration,Action,Create an invisible spectral hand that can manipulate and interact with objects.,Githyanki
Guidance,Cantrip,Divination,Action,Bestow guidance upon a creature. It receives a d4 bonus to an ability check of its choice. Concentration: Required Range: 1.5m/5ft,Cleric
Light,Cantrip,Evocation,Action,Infuse an object with an aura of light. Range: 1.5m/5ft,"Cleric, Wizard"
Mage Hand,Cantrip,Conjuration,Action,Create a spectral hand that can manipulate and interact with objects. Concentration: Required Range: 18m/60ft,"Warlock, Wizard"
Minor Illusion,Cantrip,Illusion,Action,"Create an illusory image that distracts nearby creatures, compelling them to investigate.You can remain hidden while casting this spell.","Warlock, Wizard"
Poison Spray,Cantrip,Conjuration,Action,1d12 PoisonProject a puff of noxious gas that deals 1d12 Poison. Attack/Save: Constitution Range: 3m/10ft,"Warlock, Wizard"
Produce Flame,Cantrip,Conjuration,Action,Inflicts Produce Flame A flickering flame appears in your hand. It sheds bright light in a 3m radius and deals 1d8 Fire damage when thrown.Throwing the flame immediately after you conjure it does not cost an action. Extinguishing or throwing it on subsequent turns costs an action,Druid
Ray of Frost,Cantrip,Evocation,Action,1d8 ColdInflicts Ray of Frost (1)Call forth a frigid beam of blue-white light. Deals 1d8 Cold and reduces the target's speed by 3m/10ft. Attack/Save: Ranged Attack Range: 18m/60ft,Wizard
Resistance,Cantrip,Abjuration,Action,Magically bolster a creature's defenses. It receives a d4 bonus to saving throws. Concentration: Required Range: 1.5m/5ft,Cleric
Sacred Flame,Cantrip,Evocation,Action,1d8 RadiantConjure a flame-like radiance that deals 1d8 Radiant. Attack/Save: Dexterity Range: 18m/60ft,Cleric
Shillelagh,Cantrip,Transmutation,Bonus Action,"Inflicts Shillelagh Imbue your staff or club with nature's power. It becomes magical, deals 1d8+Wisdom Bludgeoning damage, and you use your spellcasting ability for attack rolls.",Druid
Shocking Grasp,Cantrip,Evocation,Action,1d8 LightningInflicts Shocking Grasp (1)Lightning springs from your hand. It deal 1d8 Lightning and prevents the target from taking reactions. Attack/Save: Melee Attack Range: 1.5m/5ft,Wizard
